ZIP	City	County	Type
28355	Lemon Springs	Lee	P.O. Box
28356	Linden	Cumberland	Standard
28357	Lumber Bridge	Robeson	Standard
28358	Lumberton	Robeson	Standard
28359	Lumberton	Robeson	P.O. Box
28360	Lumberton	Robeson	Standard
28362	Marietta	Robeson	P.O. Box
28363	Marston	Richmond	Standard
28364	Maxton	Robeson	Standard
28365	Mount Olive	Wayne	Standard
28366	Newton Grove	Sampson	Standard
28367	Norman	Richmond	P.O. Box
28368	Olivia	Harnett	P.O. Box
28369	Orrum	Robeson	Standard
28370	Pinehurst	Moore	P.O. Box
28371	Parkton	Robeson	Standard
28372	Pembroke	Robeson	Standard
28373	Pinebluff	Moore	Standard
28374	Pinehurst	Moore	Standard
28375	Proctorville	Robeson	P.O. Box
28376	Raeford	Hoke	Standard
